model_code|version_name|version_code|spec_category|spec_category_vn|spec_key|spec_key_vn|spec_value|spec_unit|source_url
VF 2|TieuChuan||chassis|Khung gầm & hệ thống treo|brake_type|Hệ thống phanh trước/sau|ĐĨA/TANG TRỐNG||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||exterior|Ngoại thất|wheel_size_inch|Kích thước la-zăng|13|inch|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||chassis|Khung gầm & hệ thống treo|tire_repair_kit|Bộ vá lốp|PHỤ KIỆN CHÍNH HÃNG||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||chassis|Khung gầm & hệ thống treo|jack_kit|Bộ dụng cụ kích xe|PHỤ KIỆN CHÍNH HÃNG||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|ac_type|Hệ thống điều hòa|MÁY LẠNH, CHỈNH CƠ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|driver_display_inch|Màn hình thông tin lái|7 INCH|inch|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|speakers|Hệ thống loa|2 LOA|số lượng|https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|entertainment_function|Chức năng giải trí|FM||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|driver_seat_type|Ghế lái|CHỈNH CƠ 4 HƯỚNG||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||safety|An toàn|isofix|Móc cố định ghế trẻ em ISOFIX|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|seat_material_type|Chất liệu bọc ghế|NỈ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||interior|Nội thất|interior_mirror_type|Gương chiếu hậu trong xe|CHẾ ĐỘ NGÀY & ĐÊM||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||safety|An toàn|driver_airbag|Túi khí người lái|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||safety|An toàn|abs|Chống bó cứng phanh (ABS)|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||safety|An toàn|ebd|Phân phối lực phanh điện tử (EBD)|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 2|TieuChuan||safety|An toàn|tcs|Kiểm soát lực kéo (TCS)|CÓ||https://static-cms-prod.vinfastauto.com/brochure_vf_2.pdf
VF 3|||dimension|Kích thước & trọng lượng|wheelbase_mm|Chiều dài cơ sở|2.075|mm|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf
VF 3|||dimension|Kích thước & trọng lượng|length_mm|Chiều dài tổng thể|3190|mm|https://storage.googleapis.com/vinfast-data-01/brochure/29012026/VFVN_VF%203_Brochure%20280126.pdf
